word1;word2
САМКА;КАМАС
САМКА;КАМСА
САМКА;МАКСА
САМКА;МАСКА
САМКА;САКМА
ОРГАН;АРГОН
ОРГАН;ГОРНА
ОРГАН;ОНАГР
ОРГАН;РОНГА
СУКА;АКСУ
СУКА;КАСУ
СУКА;КАУС
СУКА;КУСА
СУКА;САКУ
СУКА;САУК
КАНАТ;АКАНТ
КАНАТ;КАНТА
КАНАТ;КАТАН
КАНАТ;НАКАТ
КАНАТ;ТАНКА
ДОБРО;БОДРО
ДОБРО;БОРДО
ДОБРО;БОРОД
ДОБРО;ДОБОР
ЧЕРТА;АТРЕЧ
ЧЕРТА;ЕРТАЧ
ЧЕРТА;РЕТЧА
ЧЕРТА;ТАЧЕР
СИЛА;АСЛИ
СИЛА;ИЛАС
СИЛА;ЛИСА
СИЛА;САЛИ
ЗИМА;АЗИМ
ЗИМА;ЗАМИ
ЗИМА;МАЗИ
ЗИМА;МАИЗ
ЗИМА;МИАЗ
ЗИМА;МИЗА
АИСТ;АСИТ
АИСТ;ИСАТ
АИСТ;ИСТА
АИСТ;САТИ
АИСТ;СИТА
АИСТ;ТАИС
АИСТ;ТИСА
РАУТ;АТУР
РАУТ;РУТА
РАУТ;ТУРА
РАУТ;УРАТ
НАРОД;АДРОН
НАРОД;АНДРО
НАРОД;АРДОН
НАРОД;ДОРАН
НАРОД;НОДАР
НАРОД;РАДОН
НАРОД;РОДАН
КОСА;АКСО
КОСА;ОКСА
КОСА;ОСКА
КОСА;СОКА
АНУС;НАСУ
АНУС;НАУС
АНУС;НУСА
АНУС;САНУ
АНУС;СУНА
БЕКАР;АБРЕК
БЕКАР;БАРКЕ
БЕКАР;БЕРКА
БЕКАР;БРАКЕ
ВИНА;ИВАН
ВИНА;НАВИ
ВИНА;НАИВ
ВИНА;НИВА
ИГЛА;АГИЛ
ИГЛА;ГАЛИ
ИГЛА;ИЛГА
ИГЛА;ЛАГИ
ИГЛА;ЛИГА
КЛОУН;КОЛУН
КЛОУН;КУЛОН
КЛОУН;ЛУКНО
КЛОУН;УКЛОН
КОШКА;КОКАШ
КОШКА;КОКША
КОШКА;КОШАК
КОШКА;ШКОКА
КРАЖА;ЖАРКА
КРАЖА;ЖРАКА
КРАЖА;КАЖАР
КРАЖА;РЖАКА
НАДО;АНДО
НАДО;АНОД
НАДО;ДАНО
НАДО;ДОНА
НАДО;НОДА
НАДО;ОНДА
ПЕРСИК;КИРСПЕ
ПЕРСИК;СЕРПИК
ПЕРСИК;СКРЕПИ
ПЕРСИК;СПИКЕР
РЕКА;АКЕР
РЕКА;ЕКРА
РЕКА;КАРЕ
РЕКА;КЕРА
РУКА;КАРУ
РУКА;КУАР
РУКА;КУРА
РУКА;РАКУ
РУКА;УРАК
РУКА;УРКА
САНКИ;КАСИН
САНКИ;НИКСА
САНКИ;САКИН
САНКИ;СИКАН
СТЕНА;АСТЕН
СТЕНА;АТЕНС
СТЕНА;ЕСНАТ
СТЕНА;САНЕТ
СТЕНА;СЕНАТ
СТЕНА;ТЕСНА
СТРОКА;КАСТОР
СТРОКА;КОСТРА
СТРОКА;СОКРАТ
СТРОКА;ТОРАКС
ТАКСИ;АСТИК
ТАКСИ;ИСТАК
ТАКСИ;КИСТА
ТАКСИ;САКИТ
ТАКСИ;СИТКА
УТКА;АКУТ
УТКА;КАТУ
УТКА;КУАТ
УТКА;КУТА
УТКА;ТАКУ
УТКА;ТУКА
ШИШКА;КАШИШ
ШИШКА;ШАШКИ
ШИШКА;ШИКША
ШИШКА;ШИШАК
МАТИ;АМИТ
МАТИ;МИТА
МАТИ;ТАМИ
МАТИ;ТИМА
ГОРА;АГОР
ГОРА;АГРО
ГОРА;АРГО
ГОРА;ГАРО
ГОРА;РОГА
ДУРА;АРУД
ДУРА;ДАУР
ДУРА;ДУАР
ДУРА;РУДА
ДУРА;УАРД
ДУРА;УДАР
ДУРА;УРДА
АСАП;АПАС
АСАП;АСПА
АСАП;ПАСА
АСАП;САПА
ТРЕБА;БАРЕТ
ТРЕБА;БЕРТА
ТРЕБА;БЕТАР
ТРЕБА;ТЕБРА
КАНАЛ;АЛКАН
КАНАЛ;КАЛАН
КАНАЛ;ЛАНКА
КАНАЛ;НАКАЛ
ШКУРА;КУРАШ
ШКУРА;КУРША
ШКУРА;РАШКУ
ШКУРА;РУКША
