word1;word2;weight
АВРОРА;КРЕЙСЕР;1.0
АВРОРА;БОГИНЯ;0.7624
АВРОРА;НЕВА;0.5941
АВРОРА;РЕВОЛЮЦИЯ;0.5347
АВРОРА;ЗАРЯ;0.5248
АВРОРА;НАЗВАНИЕ;0.2871
АВРОРА;САНКТ-ПЕТЕРБУРГ;0.2079
АВРОРА;ПИТЕР;0.1584
АВСТРАЛИЯ;КЕНГУРУ;1.0
АВСТРАЛИЯ;КОАЛА;0.5391
АВСТРАЛИЯ;ОСТРОВ;0.4
АВСТРАЛИЯ;СИДНЕЙ;0.2
АВСТРАЛИЯ;ГЕОГРАФИЯ;0.1652
АЗИЯ;КИТАЙ;0.97
АЗИЯ;МАТЕРИК;0.87
АЗИЯ;ВОСТОК;0.75
АЗИЯ;КОНТИНЕНТ;0.66
АЗИЯ;ЯПОНИЯ;0.53
АЗИЯ;СВЕТА;0.42
АЗИЯ;АМЕРИКА;0.18
АЛАДДИН;ДЖИН;1.0
АЛАДДИН;ЛАМПА;0.9863
АЛАДДИН;МУЛЬТИК;0.8356
АЛАДДИН;ЖАСМИН;0.7534
АЛАДДИН;КОВЁР;0.7534
АЛАДДИН;МУЛЬТФИЛЬМ;0.7123
АЛАДДИН;ВОСТОК;0.6849
АЛАДДИН;ЖЕЛАНИЕ;0.6164
АЛАДДИН;ВОЛШЕБСТВО;0.4932
АЛАДДИН;АБУ;0.1781
АЛАДДИН;ОБЕЗЬЯНКА;0.1781
АЛАДДИН;ВОЛШЕБНИК;0.1507
АМУР;СТРЕЛА;1.0
АМУР;АНГЕЛ;0.7213
АМУР;ЛУК;0.582
АМУР;ВЛЮБЛЁННЫЕ;0.3607
АМУР;ПОЦЕЛУЙ;0.1639
АНАКОНДА;ЗМЕЯ;1.0
АНАКОНДА;УКУС;0.5052
АНАКОНДА;ХИЩНИК;0.4948
АНАКОНДА;УДАВ;0.4896
АНАКОНДА;ДЖУНГЛИ;0.4896
АНАКОНДА;ОПАСНОСТЬ;0.276
АНАКОНДА;РЕПТИЛИЯ;0.1563
АНТАРКТИДА;ПИНГВИНЫ;1.0
АНТАРКТИДА;ПОЛЮС;0.6355
АНТАРКТИДА;МЕДВЕДЬ;0.535
АНТАРКТИДА;МАТЕРИК;0.4626
АНТАРКТИДА;СЕВЕР;0.4533
АНТАРКТИДА;АЙСБЕРГ;0.3084
АНТАРКТИДА;АРКТИКА;0.1542
АНТИХРИСТ;ДЬЯВОЛ;0.935
АНТИХРИСТ;ХРИСТОС;0.9106
АНТИХРИСТ;КРЕСТ;0.9024
АНТИХРИСТ;ДЕМОН;0.8374
АНТИХРИСТ;САТАНА;0.6911
АНТИХРИСТ;НЕВЕРУЮЩИЙ;0.6016
АНТИХРИСТ;ЧЁРТ;0.4228
АНТИХРИСТ;АТЕИСТ;0.3333
АНТИХРИСТ;БИБЛИЯ;0.3252
АНТИХРИСТ;НЕЧИСТЬ;0.1951
АПОЛЛОН;ГРЕЦИЯ;0.7733
АПОЛЛОН;СТАТУЯ;0.64
АПОЛЛОН;ЗЕВС;0.5733
АПОЛЛОН;КРАСАВЕЦ;0.4667
АПОЛЛОН;МИФ;0.4267
АПОЛЛОН;АФРОДИТА;0.2533
