hypernym;word
АВТОНОМНОЕ СООБЩЕСТВО;КАТАЛОНИЯ
АВТОНОМНОЕ СООБЩЕСТВО;АРАГОН
АВТОНОМНОЕ СООБЩЕСТВО;ЭСТРЕМАДУРА
АВТОНОМНОЕ СООБЩЕСТВО;НАВАРРА
АВТОНОМНОЕ СООБЩЕСТВО;БАЛЕАРЫ
АГРЕГАТНОЕ СОСТОЯНИЕ;ГАЗ
АГРЕГАТНОЕ СОСТОЯНИЕ;ЖИДКОСТЬ
АГРЕГАТНОЕ СОСТОЯНИЕ;ПАР
АГРЕГАТНОЕ СОСТОЯНИЕ;СВЕРХТЕКУЧЕСТЬ
АГРЕГАТНОЕ СОСТОЯНИЕ;ФЛЮИД
АДМИНИСТРАТИВНАЯ ЕДИНИЦА;КОМИТАТ
АДМИНИСТРАТИВНАЯ ЕДИНИЦА;КОМИССАРСТВО
АДМИНИСТРАТИВНАЯ ЕДИНИЦА;КОММУНА
АДМИНИСТРАТИВНАЯ ЕДИНИЦА;ДЕМ
АДМИНИСТРАТИВНАЯ ЕДИНИЦА;НОВОРОССИЯ
АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА;РЕСПУБЛИКА
АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА;КРАЙ
АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА;ОБЛАСТЬ
АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА;ШТАТ
АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА;КАНТОН
АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА;БУРГ
АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА;КАПИТАНИЯ
АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА;ГО
АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА;САР
АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА;ОСТАН
АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА;ПАГ
АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНАЯ ЕДИНИЦА;ПОРТ-САИД
АДМИНИСТРАТИВНЫЙ ЦЕНТР;МОГИЛЁВ
АДМИНИСТРАТИВНЫЙ ЦЕНТР;ИЖЕВСК
АДМИНИСТРАТИВНЫЙ ЦЕНТР;НАДЫМ
АДМИНИСТРАТИВНЫЙ ЦЕНТР;НОВОРОССИЙСК
АДМИНИСТРАТИВНЫЙ ЦЕНТР;ОЛЁКМИНСК
АДМИНИСТРАТИВНЫЙ ЦЕНТР;МАМЛЮТКА
АДМИНИСТРАТИВНЫЙ ЦЕНТР;СИМФЕРОПОЛЬ
АДМИНИСТРАТИВНЫЙ ЦЕНТР;ТАТАРСК
АДМИНИСТРАТИВНЫЙ ЦЕНТР;ИСИЛЬКУЛЬ
АДМИНИСТРАТИВНЫЙ ЦЕНТР;КАЛАЧИНСК
АДМИНИСТРАТИВНЫЙ ЦЕНТР;НАЗЫВАЕВСК
АДМИНИСТРАТИВНЫЙ ЦЕНТР;КУВАНДЫК
