1. ЧАСТИЦА: ИСКРА, ПУШИНКА, ИОН, МОЛЕКУЛА
2. ЖИДКОСТЬ: МАСЛО, СКИПИДАР, АНИЛИН, РОСА
3. ЧУВСТВО: БЛАГОДАРНОСТЬ, СТЕСНЕНИЕ, ОБОНЯНИЕ, ГОРЕЧЬ
4. ОБСТОЯТЕЛЬСТВА: ТИШИНА, СТАТУС-КВО, СПОКОЙСТВИЕ, ПУСТЯК

1. СУДНО: ПАРОХОД, ПАРОМ, ТРИМАРАН, ТЕПЛОХОД
2. АРХИТЕКТУРНОЕ СООРУЖЕНИЕ: АРКА, ФОНТАН, КОЛОННАДА, ОБЕЛИСК
3. ОПОРА: ШАССИ, РУЧКА, СТРОПИЛО, ПОДСТАВКА
4. ЗАПИСЬ: ФОРМУЛА, АУДИОЗАПИСЬ, ТАБЛИЦА, АДРЕС

1. ПОВРЕЖДЕНИЕ НА КОЖЕ: МОЗОЛЬ, ПРЫЩ, ОСПИНА, ССАДИНА
2. ВОДНОЕ ЖИВОТНОЕ: ЧЕРЕПАХА, ЗООПЛАНКТОН, МИНОГА, РЫБА
3. НЕЖИЛОЕ ПОМЕЩЕНИЕ: БАНЯ, ГРИМЕРКА, КОТЕЛЬНАЯ, ТИР
4. ГАЗ: ПАР, ФТОР, АЦЕТИЛЕН, ВАКУУМ

1. ЕСТЕСТВЕННЫЙ: СРЕДА, ПРИРОСТ, ОТБОР, ЯВЛЕНИЕ
2. СВЯТОЙ: ПЯТНИЦА, УГОДНИК, КАСЬЯН, ЛОЖЬ
3. ГРЯСТИ: СУББОТА, ШТАТ, ДЕРЬМО, ПРИШЕСТВИЕ
4. ВЕЛИКИЙ: ЧЕТВЕРГ, ВОСТОК, СТРАХ, КНЯЖНА

1. ВОИНСКОЕ ЗВАНИЕ: СОЛДАТ, КАПРАЛ, МАЙОР, КАПИТАН
2. ЧЕЛОВЕК ПО РОЛИ: ЗАЩИТНИК, РАЗРУШИТЕЛЬ, МАЗИЛА, БУНТАРЬ
3. ЧЕЛОВЕК ПО СФЕРЕ ДЕЯТЕЛЬНОСТИ: ВОИН, РЕФОРМАТОР, ПЕРЕВОДЧИК, ЛЮБИТЕЛЬ
4. ВЕЩЕСТВО: СОСТАВ, ЛЮМИНОФОР, ГЛАЗУРЬ, ПРОТОПЛАЗМА
