1. ХИЩНАЯ ПТИЦА: КРЕЧЕТ, СОВА, СЫЧ, КОНДОР
2. ПЛОЩАДКА: АМВОН, ПОДИУМ, ПАПЕРТЬ, ПОЛЕ
3. ПОЛЯРНЫЙ: ПАК, КРУГ, НОЧЬ, КИТ
4. БОЛЬШОЙ: ИЛЬМЕНЬ, УССУРИЙСКИЙ, РАЗНИЦА, СПАСИБО

1. ЗАЩИТА: ЭКРАНИРОВАНИЕ, ЭЛЕКТРОБЕЗОПАСНОСТЬ, БЕРЕГОУКРЕПЛЕНИЕ, ХЕДЖИРОВАНИЕ
2. ВЕРХОВНЫЙ: РАДА, ЖРЕЦ, БОЖЕСТВО, СОВЕТ
3. ОБСУЖДЕНИЕ: СПОР, ПЕРЕГОВОРЫ, ШУМИХА, СЛУШАНИЕ
4. ТЕРРИТОРИАЛЬНЫЙ: ОБОРОНА, ПРЕТЕНЗИЯ, ИЗБИРКОМ, ЦЕЛОСТНОСТЬ

1. ПЛОДОВОЕ ДЕРЕВО: ХУРМА, АЙВА, АВОКАДО, МАНГО
2. ХАРУМ: МУХАР, МАХРУ, МАРУХ, МУРАХ
3. ФРУКТ: ЯБЛОКО, СЛИВА, ЦИТРУС, ПЕРСИК
4. ЗЕМЛЯНОЙ: ГРУША, БЛОХА, ДЫМ, ОРЕХ

1. РУКОВОДИТЕЛЬ: ДЕКАН, СЕКРЕТАРЬ, АУКЦИОНИСТ, РЕКТОР
2. АДМИНИСТРАТИВНЫЙ: ОКРУГ, ШТРАФ, ЮРИСДИКЦИЯ, ДЕЛЕНИЕ
3. НЕПОСРЕДСТВЕННЫЙ: БЛИЗОСТЬ, НАЧАЛЬНИК, ПОДЧИНЕНИЕ, ИСПОЛНИТЕЛЬ
4. СВЯЗЬ: РЕСУРС, СХОДСТВО, УЧАСТИЕ, АССОЦИАЦИЯ

1. ОБУВЬ: ШЛЕПАНЦЫ, ТУФЛИ, БОТИНКИ, САПОГИ
2. ЛОСОСЕВЫЕ РЫБЫ: ЧАВЫЧА, КЕТА, НЕРКА, ФОРЕЛЬ
3. БЛАГОРОДНЫЙ: СЕДИНА, ЛАВР, ЛОСОСЬ, МЕТАЛЛ
4. ЧЁРНЫЙ: РЫНОК, ПЕЛЕНА, КОШКА, ДРОНГО

