1. ДЛИНА: ЯРД, ФУТ, ДЮЙМ, ЛОКОТЬ
2. УКРАШЕНИЕ: МАНЖЕТ, ОБОДОК, БРАСЛЕТ, КОЛЬЦО
3. СТРУННЫЕ: СМЫЧОК, ДЕКА, ПОДСТАВКА, ПОДБОРОДНИК
4. ТРУБА: ЗАГЛУШКА, ТРОЙНИК, ФЛАНЕЦ, КОЛЕНО

1. ПАМЯТНИКИ: ОБЕЛИСК, МОНУМЕНТ, ПАМЯТНИК, СТАТУЯ
2. ЖИВОПИСНЫЕ ТЕХНИКИ: ГРАВЮРА, МОЗАИКА, МИНИАТЮРА, ФРЕСКА
3. ПОСУДА-ТРОФЕЙ: КУБОК, БОКАЛ, КУВШИН, ВАЗА
4. ИНТЕРНЕТ-ЯВЛЕНИЯ: ТРЕНД, МЕМ, ХИТ, ИКОНА

1. ЗЕРНОВЫЕ: ПРОСО, ЯЧМЕНЬ, ПШЕНИЦА, КУКУРУЗА
2. ОРЕХИ: КОКОС, ПЕКАН, ФУНДУК, АРАХИС
3. ЖАНРЫ: БЛЮЗ, ПАНК, ДЖАЗ, РЭП
4. АНАГРАММЫ: СОЯ, ОСЯ, СЯО, ЯСО

1. ПРОЕКТИЛИ: БОЛТ, СТРЕЛА, ГАРПУН, ДРОТИК
2. ЖИВОТНЫЕ ЗОДИАКА: ПЕТУХ, СВИНЬЯ, КОЗЕЛ, КРЫСА
3. ЭСТРАДНЫЕ ИСПОЛНИТЕЛИ: БЬЯНКА, МОТ, ЗЕМФИРА, ДЕЛЬФИН
4. ЭКЗОТИЧЕСКИЕ ФРУКТЫ: ХИНА, СИБА, ЛИЧИ, КРАБ

1. ЖИДКОСТИ ЖИВОТНЫХ: ЯД, СЛЮНА, ЖЕЛЧЬ, МОЛОКО
2. ОМОНИМЫ: КЛЮЧ, ЛУК, БРАСЛЕТ, СЫР
3. ТО, ЧТО МОЖНО ЖАТЬ: ТОРМОЗ, ПУЛЬС, ГАЗ, СОК
4. СЛОВА НА -УРТ: КОНЦЕРТ, ЭКСПЕРТ, ЙОГУРТ, РЕТУРТ
