1. ДУХОВЫЕ ИНСТРУМЕНТЫ: САКСОФОН, ТРОМБОН, КЛАРНЕТ, ГОБОЙ
2. МАЛЕНЬКИЕ МАГАЗИНЫ: КИОСК, ЛАРЁК, БУТИК, ПАВИЛЬОН
3. ПРЕДМЕТЫ В ДОМЕ: ТРУБА, ЛАМПА, ЛАВКА, ПЕЧЬ
4. ГЛАГОЛЫ НА "-ЕЧЬ": ЛЕЧЬ, ПРИПЕЧЬ, ВЫПЕЧЬ, ЗАПЕЧЬ

1. МЕСЯЦЫ: ЯНВАРЬ, МАРТ, ФЕВРАЛЬ, АПРЕЛЬ
2. ШВЕЙНЫЕ ПРИНАДЛЕЖНОСТИ: ЛЕНТА, ИГЛА, ПРЯЖА, НИТКА
3. РЕКИ РОССИИ: ОБЬ, АМУР, ВОЛГА, МЕЗЕНЬ
4. КИНОТЕАТРЫ МОСКВЫ: ПОБЕДА, ОКТЯБРЬ, НЕВА, ПЯТНИЦА

1. РЫБЫ: ЯЗЬ, ОКУНЬ, ПЛОТВА, ЛЕЩ
2. ОВОЩИ: ТЫКВА, РЕДИС, МОРКОВЬ, КАПУСТА
3. ЧАСТИ КОРАБЛЯ: КИЛЬ, ШТУРВАЛ, ЯКОРЬ, РУЛЬ
4. СРЕДСТВА БУКСИРОВКИ: БАЛЛАСТ, ГРУЗ, ТЯГАЧ, БУКСИР

1. ГОЛОВНЫЕ УБОРЫ: КЕПКА, ПИЛОТКА, ШАПКА, ШЛЯПА
2. ЛОКАЦИИ: МОСТ, ПАРК, ПЛЯЖ, ЛЕС
3. ЗУБЫ: МОЛЯР, КОРОНКА, ЭМАЛЬ, РЕЗЕЦ
4. ТЕАТР: ОРКЕСТР, АФИША, ЗАНАВЕС, СЦЕНА

1. КОСМИЧЕСКИЕ ТЕЛА: АСТЕРОИД, ПЛАНЕТА, КОМЕТА, МЕТЕОРИТ
2. МЕДИАНОСИТЕЛИ: СТАТЬЯ, ГАЗЕТА, КНИГА, ЖУРНАЛ
3. ЁЛОЧНЫЕ УКРАШЕНИЯ: ЛЕНТА, ГИРЛЯНДА, МИШУРА, ЗВЕЗДА
4. ЮРИДИЧЕСКИЕ ТЕРМИНЫ: ИСК, ДОГОВОР, НАРУШЕНИЕ, УЩЕРБ
