1. ОБРАЗЕЦ: ЭТАЛОН, МЕРА, СТАНДАРТ, КРИТЕРИЙ
2. ПОКЕРНЫЕ ДЕЙСТВИЯ: СТАВКА, КОЛЛ, ЧЕК, ПАС
3. ТИПЫ КОЖИ: КОМБИНИРОВАННАЯ, СУХАЯ, НОРМАЛЬНАЯ, ЖИРНАЯ
4. НАЧАЛА ШТАТОВ США: КЕНТ, МЭРИ, МАСС, ВАШ

1. СФЕРА ЗНАНИЙ: ОБЛАСТЬ, ДОМЕН, ПОЛЕ, СФЕРА
2. МУЗЫКАЛЬНЫЕ ИНСТРУМЕНТЫ: СКРИПКА, РОГ, ФЛЕЙТА, ТРЕУГОЛЬНИК
3. ИСПОЛЬЗУЮТСЯ ДЛЯ ОГРАНИЧЕНИЯ ДВИЖЕНИЯ: БАРЬЕР, КОНУС, ФЛАГ, ФАКЕЛ
4. ЕДА ___: СЕТЬ, БОРЬБА, ПРОЦЕССОР, ПИРАМИДА

1. ХЛЕБОБУЛОЧНОЕ ИЗДЕЛИЕ: БАГЕТ, БУЛКА, БАТОН, РУЛЕТ
2. ГАРАНТИРОВАТЬ: ЗАКРЕПИТЬ, ГАРАНТИРОВАТЬ, ЗАПЕРЕТЬ, ОБЕСПЕЧИТЬ
3. НЕБОЛЬШОЙ ДЕФЕКТ: СКОЛ, МЕТКА, ЗАЗУБРИНА, ЦАРАПИНА
4. ГОЛОВА ЧЕГО-ЛИБО: ВОЛОС, САЛАТ, ГОСУДАРСТВО, ПАР

1. ПОЛУЧЕННОЕ УСИЛИЕМ: ПРИБЫЛЬ, ПЛОД, ВОЗВРАТ, НАГРАДА
2. ВИДЫ БЕЙГЛОВ: ЯЙЦО, ВСЁ, ПРОСТОЙ, МАК
3. ВКЛАД В ФИЛЬМ: ИГРАТЬ, СТАВИТЬ, ПРОДЮСЕР, ПИСАТЬ
4. НАЧАЛА МОНСТРОВ: ФРАНК, МУМИЯ, ВАМП, ВЕР

1. ШИРИНА: ОБЪЁМ, ДИАПАЗОН, ДОСТУП, ОБЛАСТЬ
2. ДРУГАЯ ПОЛОВИНА: ДОПОЛНЕНИЕ, ПАРА, СПУТНИК, ПАРТНЁР
3. ПИВО, РАЗГОВОРНО: БАД, НЭТТИ, СЬЕРРА, СТЕЛЛА
4. ПОСЛЕ «ПЛАТИТЬ»: ЧЕК, ГРЯЗЬ, ДРУГ, ТЕЛЕФОН

